date,product,region,quantity,unit_price,customer_id,total
2026-02-13,Gadget X,Rwanda-Kigali,10,111.5,2839,1115.0
2026-02-05,Service Pro,Ghana-Kumasi,49,116.34,5965,5700.66
2025-12-13,Gadget Y,Ghana-Accra,19,41.44,2087,787.3599999999999
2026-03-07,Widget A,Rwanda-Huye,24,104.0,1150,2496.0
2026-01-12,Gadget X,Ghana-Kumasi,42,30.61,7681,1285.62
2025-12-07,Gadget X,Rwanda-Huye,46,55.49,1838,2552.54
2026-03-06,Gadget Y,Rwanda-Huye,4,49.79,4738,199.16
2026-01-16,Service Pro,Rwanda-Huye,3,143.18,1886,429.54
2026-01-25,Gadget X,Ghana-Kumasi,27,126.54,7177,3416.5800000000004
2026-02-10,Gadget X,Rwanda-Kigali,14,199.59,3845,2794.26
2025-12-11,Gadget Y,Rwanda-Huye,31,133.95,1616,4152.45
2025-12-10,Service Pro,Ghana-Kumasi,40,51.82,8064,2072.8
2026-01-10,Service Pro,Ghana-Accra,27,87.29,3812,2356.8300000000004
2026-01-24,Widget A,Rwanda-Kigali,20,36.26,4694,725.1999999999999
2025-12-10,Gadget Y,Rwanda-Huye,7,181.68,6780,1271.76
2026-01-21,Widget A,Ghana-Accra,44,35.76,3442,1573.4399999999998
2026-02-06,Gadget Y,Ghana-Kumasi,44,77.61,1059,3414.84
2026-01-02,Widget B,Ghana-Accra,47,14.26,8492,670.22
2026-02-27,Widget A,Rwanda-Huye,18,109.0,1373,1962.0
2026-02-26,Service Pro,Rwanda-Kigali,34,153.53,2037,5220.02
2026-01-02,Widget B,Ghana-Accra,20,120.29,7195,2405.8
2026-01-24,Service Pro,Rwanda-Huye,46,127.37,9943,5859.02
2025-12-08,Widget A,Ghana-Kumasi,38,71.39,9273,2712.82
2025-12-07,Widget A,Ghana-Accra,47,165.17,9589,7762.99
2025-12-09,Gadget X,Ghana-Accra,9,162.9,2844,1466.1000000000001
2025-12-15,Widget B,Ghana-Accra,45,95.37,5560,4291.650000000001
2026-02-06,Service Pro,Ghana-Kumasi,8,185.68,8953,1485.44
2026-02-03,Service Pro,Rwanda-Huye,47,62.1,9030,2918.7000000000003
2025-12-22,Gadget Y,Ghana-Accra,43,144.82,6057,6227.259999999999
2026-02-05,Gadget Y,Rwanda-Huye,18,38.23,4670,688.14
2026-01-22,Widget B,Rwanda-Kigali,12,148.38,8512,1780.56
2026-03-04,Widget A,Ghana-Accra,41,120.95,4401,4958.95
2025-12-24,Widget B,Ghana-Accra,37,20.02,8628,740.74
2026-02-08,Service Pro,Rwanda-Huye,22,58.69,7674,1291.1799999999998
2026-01-11,Service Pro,Ghana-Accra,27,16.09,3683,434.43
2025-12-18,Widget A,Ghana-Accra,4,33.54,4645,134.16
2026-01-20,Gadget X,Rwanda-Huye,3,187.07,3272,561.21
2026-02-03,Widget A,Ghana-Accra,44,191.68,8052,8433.92
2026-02-26,Widget B,Ghana-Accra,7,19.27,5923,134.89
2026-03-05,Widget A,Rwanda-Kigali,36,23.89,5112,860.04
2026-02-03,Service Pro,Rwanda-Kigali,4,94.68,6215,378.72
2026-03-01,Gadget X,Ghana-Kumasi,46,33.57,6130,1544.22
2026-01-20,Gadget X,Rwanda-Kigali,28,83.67,5859,2342.76
2026-03-03,Service Pro,Ghana-Accra,46,168.2,9551,7737.2
2026-02-16,Gadget Y,Rwanda-Huye,35,132.11,2129,4623.85
